variant,weight_mode,run,loss,val_r2,mean_rank,wall_time_s
unweighted,-,1,1030.0020751953125,-118.33721923828125,0.11,25.79
unweighted,-,2,1149.096435546875,-134.4334259033203,0.11,24.6
unweighted,-,3,1618.2276611328125,-158.22186279296875,0.11,25.16
weighted-degree,degree,1,1324.8978271484375,-168.1283416748047,0.1,25.52
weighted-degree,degree,2,1494.966552734375,-170.73715209960938,0.1,27.57
weighted-degree,degree,3,864.8529052734375,-134.0420379638672,0.1,30.28
weighted-uniform,uniform,1,1884.449951171875,-184.18128967285156,0.1,24.17
weighted-uniform,uniform,2,938.3367919921875,-137.44825744628906,0.1,26.06
weighted-uniform,uniform,3,685.3579711914062,-109.156982421875,0.12,31.0
weighted-random,random,1,1722.6708984375,-175.6177978515625,0.12,25.92
weighted-random,random,2,1377.3690185546875,-162.8457794189453,0.11,24.3
weighted-random,random,3,801.2572631835938,-128.7107391357422,0.13,24.01
