topology,trial,model,top1,top5,top10,bias,avg_hop_error,first_detect_time,wall_time_s
ER,0,DeepTrace,1,1,1,24538.4082,0,200.0,1.4218
ER,0,DT++ enriched,1,1,1,23258.6387,0,200.0,1.5082
ER,0,DT++ weighted,1,1,1,24734.5957,0,200.0,1.4156
ER,0,DeepTrace++,1,1,1,24238.6484,0,200.0,1.5705
ER,0,Rumor Center,1,1,1,,0,200.0,0.0069
ER,1,DeepTrace,1,1,1,19132.5293,0,200.0,1.4118
ER,1,DT++ enriched,1,1,1,17920.4336,0,200.0,1.5064
ER,1,DT++ weighted,1,1,1,19191.1816,0,200.0,1.3977
ER,1,DeepTrace++,1,1,1,18754.0664,0,200.0,1.5976
ER,1,Rumor Center,1,1,1,,0,200.0,0.0068
ER,2,DeepTrace,1,1,1,18301.3809,0,200.0,1.3662
ER,2,DT++ enriched,1,1,1,17540.627,0,200.0,1.457
ER,2,DT++ weighted,1,1,1,18632.9473,0,200.0,1.369
ER,2,DeepTrace++,1,1,1,18090.4629,0,200.0,1.4595
ER,2,Rumor Center,1,1,1,,0,200.0,0.0067
ER,3,DeepTrace,1,1,1,25312.4531,0,200.0,1.4717
ER,3,DT++ enriched,1,1,1,23956.4609,0,200.0,1.507
ER,3,DT++ weighted,1,1,1,25503.9883,0,200.0,1.4069
ER,3,DeepTrace++,1,1,1,24875.7949,0,200.0,1.509
ER,3,Rumor Center,1,1,1,,0,200.0,0.0066
ER,4,DeepTrace,1,1,1,23272.9316,0,200.0,1.4286
ER,4,DT++ enriched,1,1,1,21777.3262,0,200.0,1.5197
ER,4,DT++ weighted,1,1,1,23266.5488,0,200.0,1.4357
ER,4,DeepTrace++,1,1,1,22839.3652,0,200.0,1.5838
ER,4,Rumor Center,1,1,1,,0,200.0,0.0066
ER,5,DeepTrace,1,1,1,23155.4434,0,,0.2111
ER,5,DT++ enriched,1,1,1,21650.75,0,,0.2327
ER,5,DT++ weighted,1,1,1,23067.8203,0,,0.2859
ER,5,DeepTrace++,1,1,1,22608.1035,0,,0.2339
ER,5,Rumor Center,1,1,1,,0,200.0,0.0071
ER,6,DeepTrace,1,1,1,23537.8965,0,,0.2865
ER,6,DT++ enriched,1,1,1,22005.5176,0,,0.2391
ER,6,DT++ weighted,1,1,1,23540.5762,0,,0.2864
ER,6,DeepTrace++,1,1,1,23091.6562,0,,0.24
ER,6,Rumor Center,1,1,1,,0,200.0,0.0071
ER,7,DeepTrace,1,1,1,18745.3848,0,,0.2819
ER,7,DT++ enriched,1,1,1,18023.1562,0,,0.2335
ER,7,DT++ weighted,1,1,1,19072.5117,0,,0.2794
ER,7,DeepTrace++,1,1,1,18468.4043,0,,0.233
ER,7,Rumor Center,1,1,1,,0,200.0,0.0071
ER,8,DeepTrace,1,1,1,19667.2559,0,,0.2765
ER,8,DT++ enriched,1,1,1,18682.1777,0,,0.2332
ER,8,DT++ weighted,1,1,1,19875.2363,0,,0.2783
ER,8,DeepTrace++,1,1,1,19400.916,0,,0.2317
ER,8,Rumor Center,1,1,1,,0,200.0,0.007
ER,9,DeepTrace,1,1,1,23382.0977,0,,0.2833
ER,9,DT++ enriched,1,1,1,22140.9297,0,,0.2356
ER,9,DT++ weighted,1,1,1,23518.5996,0,,0.2216
ER,9,DeepTrace++,1,1,1,22944.0801,0,,0.3003
ER,9,Rumor Center,1,1,1,,0,200.0,0.0069
ER,10,DeepTrace,1,1,1,23437.6875,0,,0.2243
ER,10,DT++ enriched,1,1,1,21795.9512,0,,0.2972
ER,10,DT++ weighted,1,1,1,23330.2656,0,,0.2247
ER,10,DeepTrace++,1,1,1,23063.8359,0,,0.2975
ER,10,Rumor Center,0,1,1,,1,200.0,0.0072
ER,11,DeepTrace,1,1,1,30376.5371,0,,0.2822
ER,11,DT++ enriched,1,1,1,28802.8262,0,,0.2327
ER,11,DT++ weighted,1,1,1,30590.3008,0,,0.2208
ER,11,DeepTrace++,1,1,1,29818.293,0,,0.2949
ER,11,Rumor Center,1,1,1,,0,200.0,0.007
ER,12,DeepTrace,1,1,1,21787.6797,0,,0.2803
ER,12,DT++ enriched,1,1,1,20690.1172,0,,0.2363
ER,12,DT++ weighted,1,1,1,22027.4121,0,,0.2241
ER,12,DeepTrace++,1,1,1,21515.6465,0,,0.2958
ER,12,Rumor Center,1,1,1,,0,200.0,0.0071
ER,13,DeepTrace,1,1,1,17603.8008,0,,0.2756
ER,13,DT++ enriched,1,1,1,16338.2959,0,,0.2329
ER,13,DT++ weighted,1,1,1,17585.6328,0,,0.2196
ER,13,DeepTrace++,1,1,1,17238.791,0,,0.2999
ER,13,Rumor Center,1,1,1,,0,200.0,0.0072
ER,14,DeepTrace,1,1,1,13037.0049,0,,0.2103
ER,14,DT++ enriched,1,1,1,12186.0176,0,,0.2829
ER,14,DT++ weighted,1,1,1,13156.5645,0,,0.2152
ER,14,DeepTrace++,1,1,1,12739.2354,0,,0.2849
ER,14,Rumor Center,1,1,1,,0,200.0,0.0071
ER,15,DeepTrace,1,1,1,20227.875,0,,0.2086
ER,15,DT++ enriched,1,1,1,19304.3906,0,,0.2822
ER,15,DT++ weighted,1,1,1,20530.9707,0,,0.2118
ER,15,DeepTrace++,1,1,1,19714.2168,0,,0.2821
ER,15,Rumor Center,1,1,1,,0,200.0,0.0069
ER,16,DeepTrace,1,1,1,21556.5137,0,,0.2211
ER,16,DT++ enriched,1,1,1,20464.8008,0,,0.2972
ER,16,DT++ weighted,1,1,1,21792.1992,0,,0.221
ER,16,DeepTrace++,1,1,1,21175.3887,0,,0.2972
ER,16,Rumor Center,1,1,1,,0,200.0,0.007
ER,17,DeepTrace,1,1,1,20148.4316,0,,0.2244
ER,17,DT++ enriched,1,1,1,18886.0703,0,,0.2999
ER,17,DT++ weighted,1,1,1,20083.2988,0,,0.2254
ER,17,DeepTrace++,1,1,1,19755.2129,0,,0.2397
ER,17,Rumor Center,0,1,1,,1,200.0,0.0072
ER,18,DeepTrace,1,1,1,30311.4648,0,,0.217
ER,18,DT++ enriched,1,1,1,29228.9277,0,,0.2908
ER,18,DT++ weighted,1,1,1,30892.0215,0,,0.2215
ER,18,DeepTrace++,1,1,1,30082.627,0,,0.2341
ER,18,Rumor Center,1,1,1,,0,200.0,0.007
ER,19,DeepTrace,1,1,1,22363.502,0,,0.2873
ER,19,DT++ enriched,1,1,1,21112.2656,0,,0.2366
ER,19,DT++ weighted,1,1,1,22476.8711,0,,0.2853
ER,19,DeepTrace++,1,1,1,21930.7402,0,,0.238
ER,19,Rumor Center,1,1,1,,0,200.0,0.007
BA,0,DeepTrace,1,1,1,8648.8506,0,200.0,1.2878
BA,0,DT++ enriched,1,1,1,8073.2441,0,200.0,1.3037
BA,0,DT++ weighted,1,1,1,8788.2773,0,200.0,1.219
BA,0,DeepTrace++,1,1,1,8146.9199,0,200.0,1.2994
BA,0,Rumor Center,0,1,1,,1,200.0,0.0064
BA,1,DeepTrace,0,0,0,6145.4639,1,200.0,1.2727
BA,1,DT++ enriched,0,0,0,5822.6221,1,200.0,1.2994
BA,1,DT++ weighted,0,0,0,6446.4355,1,200.0,1.2117
BA,1,DeepTrace++,0,0,0,5981.9385,1,200.0,1.2955
BA,1,Rumor Center,1,1,1,,0,200.0,0.0065
BA,2,DeepTrace,0,0,0,3669.2908,2,200.0,1.1489
BA,2,DT++ enriched,0,0,0,3425.7737,2,200.0,1.2452
BA,2,DT++ weighted,0,0,0,3852.8032,2,200.0,1.1643
BA,2,DeepTrace++,0,0,0,3538.8516,2,200.0,1.3083
BA,2,Rumor Center,1,1,1,,0,200.0,0.0066
BA,3,DeepTrace,0,1,1,9694.1768,1,200.0,1.2042
BA,3,DT++ enriched,0,0,0,9185.9639,1,200.0,1.288
BA,3,DT++ weighted,0,1,1,10000.5488,1,200.0,1.1984
BA,3,DeepTrace++,0,1,1,9337.3809,1,200.0,1.3451
BA,3,Rumor Center,1,1,1,,0,200.0,0.0066
BA,4,DeepTrace,0,0,0,4777.5337,3,200.0,1.1605
BA,4,DT++ enriched,0,0,0,4384.9009,3,200.0,1.259
BA,4,DT++ weighted,0,0,0,4871.5513,3,200.0,1.1593
BA,4,DeepTrace++,0,0,0,4425.6738,3,200.0,1.2568
BA,4,Rumor Center,0,1,1,,1,200.0,0.0065
BA,5,DeepTrace,0,1,1,4702.0684,1,,0.2344
BA,5,DT++ enriched,0,1,1,4264.689,1,,0.1947
BA,5,DT++ weighted,0,1,1,4835.3179,1,,0.2787
BA,5,DeepTrace++,0,1,1,4407.7061,1,,0.1941
BA,5,Rumor Center,0,1,1,,1,200.0,0.0068
BA,6,DeepTrace,0,0,0,4644.3237,1,,0.2409
BA,6,DT++ enriched,0,0,0,4256.6108,1,,0.1915
BA,6,DT++ weighted,0,0,0,4899.8315,1,,0.2396
BA,6,DeepTrace++,0,0,0,4305.6577,1,,0.193
BA,6,Rumor Center,1,1,1,,0,200.0,0.0069
BA,7,DeepTrace,0,0,0,6068.4194,1,,0.2463
BA,7,DT++ enriched,0,0,0,5644.1807,1,,0.1995
BA,7,DT++ weighted,0,0,0,6177.2495,1,,0.2463
BA,7,DeepTrace++,0,0,0,5792.9487,1,,0.1987
BA,7,Rumor Center,0,1,1,,1,200.0,0.0071
BA,8,DeepTrace,0,0,0,3671.5955,1,,0.2388
BA,8,DT++ enriched,0,0,0,3309.5222,1,,0.1904
BA,8,DT++ weighted,0,0,0,3708.324,1,,0.2407
BA,8,DeepTrace++,0,0,0,3394.4541,1,,0.1908
BA,8,Rumor Center,1,1,1,,0,200.0,0.0068
BA,9,DeepTrace,1,1,1,6654.0542,0,,0.2504
BA,9,DT++ enriched,1,1,1,6140.7876,0,,0.1992
BA,9,DT++ weighted,1,1,1,6842.7832,0,,0.1839
BA,9,DeepTrace++,1,1,1,6311.8872,0,,0.2589
BA,9,Rumor Center,1,1,1,,0,200.0,0.0069
BA,10,DeepTrace,1,1,1,6665.709,0,,0.1839
BA,10,DT++ enriched,1,1,1,5966.5259,0,,0.2562
BA,10,DT++ weighted,1,1,1,6777.2305,0,,0.184
BA,10,DeepTrace++,1,1,1,6192.1987,0,,0.2586
BA,10,Rumor Center,1,1,1,,0,200.0,0.0069
