topology,model,top1_acc,top5_acc,top10_acc,mean_bias,mean_hop_err,mean_first_detect,mean_time_s
BA,DT++ Unified,0.25,0.55,0.55,5805.484945,1.25,200.0,0.50819
BA,DT++ enriched,0.25,0.6,0.6,5638.773064999999,1.2,200.0,0.51271
BA,DT++ weighted,0.25,0.6,0.6,6247.741855,1.2,200.0,0.47176999999999997
BA,DeepTrace,0.25,0.6,0.6,5982.717409999999,1.2,200.0,0.471805
BA,DeepTrace++,0.25,0.4,0.45,5186.70204,1.2,200.0,0.508935
ER,DT++ Unified,0.95,1.0,1.0,20584.99292,0.05,200.0,0.592505
ER,DT++ enriched,1.0,1.0,1.0,20972.837845000002,0.0,200.0,0.609305
ER,DT++ weighted,1.0,1.0,1.0,22082.029925000003,0.0,200.0,0.536895
ER,DeepTrace,1.0,1.0,1.0,21786.13863,0.0,200.0,0.543455
ER,DeepTrace++,0.95,1.0,1.0,21016.935495,0.05,200.0,0.58897
Regular,DT++ Unified,0.0,0.0,0.0,19726.81255,2.95,200.0,0.5822499999999999
Regular,DT++ enriched,0.1,0.55,0.9,20347.110595,2.5,200.0,0.58426
Regular,DT++ weighted,0.0,0.0,0.0,21819.45987,3.85,200.0,0.5415449999999999
Regular,DeepTrace,0.0,0.0,0.0,21139.348045,4.5,200.0,0.54782
Regular,DeepTrace++,0.0,0.0,0.0,20960.20118,4.0,200.0,0.58238
SBM,DT++ Unified,0.05,0.15,0.2,11280.79109,2.0,200.0,0.596625
SBM,DT++ enriched,0.15,0.3,0.5,11845.055125,1.85,200.0,0.60449
SBM,DT++ weighted,0.15,0.35,0.35,12934.21587,1.8,200.0,0.56491
SBM,DeepTrace,0.2,0.5,0.55,12904.16754,1.85,200.0,0.5653400000000001
SBM,DeepTrace++,0.15,0.35,0.4,12941.186915,2.0,200.0,0.601115
WS,DT++ Unified,0.0,0.0,0.0,12734.393535,3.85,200.0,0.57891
WS,DT++ enriched,0.05,0.15,0.25,13243.404825,3.45,200.0,0.578635
WS,DT++ weighted,0.0,0.0,0.0,14524.373094999999,3.65,200.0,0.537265
WS,DeepTrace,0.0,0.05,0.1,14237.882225,3.7,200.0,0.533315
WS,DeepTrace++,0.0,0.0,0.0,14147.35582,3.6,200.0,0.566205
